Model,Accuracy
AdaBoostClassifier,0.84875
BaggingClassifier,0.8265
BernoulliNB,0.6885
CalibratedClassifierCV,0.78175
CategoricalNB,0.75625
ComplementNB,0.5955
DecisionTreeClassifier,0.72025
DummyClassifier,0.65325
ExtraTreeClassifier,0.70975
ExtraTreesClassifier,0.807
GaussianNB,0.78025
GaussianProcessClassifier,0.6035
GradientBoostingClassifier,0.84475
HistGradientBoostingClassifier,0.84925
KNeighborsClassifier,0.644
LabelPropagation,0.608
LabelSpreading,0.608
LinearDiscriminantAnalysis,0.77925
LinearSVC,0.78275
LogisticRegression,0.781
LogisticRegressionCV,0.781
MLPClassifier,0.738
MultinomialNB,0.60525
NearestCentroid,0.54775
NuSVC,0.51625
PassiveAggressiveClassifier,0.65325
Perceptron,0.646
QuadraticDiscriminantAnalysis,0.77675
RandomForestClassifier,0.837
RidgeClassifier,0.77875
RidgeClassifierCV,0.7785
SGDClassifier,0.6615
SVC,0.65325
